"","chick.parent","birdID.chick","birdID.parent","age_deployment","n_chicks","nth_chick","lat.nest","lon.nest","sex.x","mortality_date.x","start_deployment.x","sex.y","mortality_date.y","start_deployment.y","last.date.joined.data","ndays","ndays.behav"
"3","6295-6288",6295,6288,35,1,1,53.4865,6.237983,"m",NA,2016-05-12,"f",NA,2016-06-15,2016-12-31,97,89
"4","6295-6289",6295,6289,35,1,1,53.4865,6.237983,"f",NA,2016-05-15,"f",NA,2016-06-15,2016-12-31,98,91
"5","6296-656",6296,656,35,1,1,53.49024,6.260371,"m",NA,2016-04-27,"m",2016-10-03,2016-07-06,2016-10-03,51,48
"6","6298.1-6118",6298.1,6118,33,2,1,53.48836,6.259269,"m",NA,2014-04-30,"m",2016-10-27,2016-07-07,2016-10-28,86,85
"7","6299-6284",6299,6284,33,2,1,53.49356,6.277425,"f",2016-10-22,2016-04-28,"f",NA,2016-07-14,2016-12-31,77,75
"8","6301-6285",6301,6285,32,1,1,53.49354,6.277507,"f",NA,2016-05-02,"f",2016-11-01,2016-07-15,2016-11-01,63,61
"9","6302-6067",6302,6067,33,1,1,53.4864,6.267221,"m",NA,2014-05-13,"f",2017-11-25,2016-07-15,2016-12-29,75,70
"10","6304-6291",6304,6291,33,1,1,53.48679,6.267568,"f",NA,2016-05-16,"m",2016-10-05,2016-07-28,2016-10-04,65,65
"11","6304-763",6304,763,33,1,1,53.48679,6.267568,"m",NA,2012-05-25,"m",2016-10-05,2016-07-28,2016-10-04,65,65
"13","6354-6298",6354,6298,31,1,1,53.4862,6.250407,"f",NA,2017-05-06,"f",NA,2017-06-11,2017-12-31,85,81
"14","6358.1-6066",6358.1,6066,31,1,1,53.48378,6.241651,"m",NA,2014-05-05,"f",2018-02-27,2017-06-12,2017-12-31,54,53
"2","6292-6287",6292,6287,32,2,2,53.47796,6.244272,"m",NA,2016-05-03,"f",2017-10-06,2017-07-13,2017-10-06,67,57
"15","6374.1-6284.2",6374.1,6284.2,31,1,1,53.48367,6.237533,"f",NA,2017-05-01,"m",2018-01-03,2017-07-17,2017-12-31,74,65
"16","6374.1-6288",6374.1,6288,31,1,1,53.48367,6.237533,"m",NA,2016-05-12,"m",2018-01-03,2017-07-17,2017-12-31,0,0
"17","6381-6358",6381,6358,34,2,2,53.48696,6.258973,"m",NA,2018-05-14,"m",NA,2018-06-21,2018-12-31,27,23
"1","1607-6284.2",1607,6284.2,30,1,1,53.47805,6.242483,"f",NA,2017-05-01,"m",NA,2018-06-25,2018-07-02,0,0
"12","6315-6289",6315,6289,31,1,1,53.48611,6.235296,"f",NA,2016-05-15,"m",NA,2018-06-25,2018-12-31,90,79
"19",NA,6315,6288,31,1,1,53.48611,6.235296,"m",NA,2016-05-12,"m",NA,2018-06-25,NA,0,0
"18","6385-6291",6385,6291,32,1,1,53.48726,6.260559,"f",NA,2016-05-16,"m",NA,2018-07-10,2018-12-31,70,50
