"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + yearf + z.age",8,"2.15","0.00","0.30"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.22","0.07","0.29"
"6","sex.chick + yearf + z.age",8,"3.50","1.35","0.15"
"5","yearf + z.age",7,"5.66","1.51","0.14"
"16","sex.chick + sex.parent + yearf + z.age + sex.chick:sex.parent",10,"0.00","1.85","0.12"
"3","sex.parent + yearf",7,"13.75","9.60","0.00"
"4","sex.chick + sex.parent + yearf",8,"11.90","9.75","0.00"
"2","sex.chick + yearf",7,"15.32","11.17","0.00"
"1","yearf",6,"17.42","11.27","0.00"
"12","sex.chick + sex.parent + yearf + sex.chick:sex.parent",9,"11.69","11.55","0.00"
